rank,movieId,title,genres,tmdb_title,release_year_clean,director_names_json,top_cast_names_json,recommendation_score,actual_rating,graded_relevance
1,76093,How to Train Your Dragon (2010),Adventure|Animation|Children|Fantasy|IMAX,How to Train Your Dragon,2010.0,"[""Dean DeBlois"", ""Chris Sanders""]","[""Jay Baruchel"", ""Gerard Butler"", ""Craig Ferguson"", ""America Ferrera"", ""Jonah Hill""]",1.4852513,4.0,3
2,1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi,The Fifth Element,1997.0,"[""Luc Besson""]","[""Bruce Willis"", ""Milla Jovovich"", ""Gary Oldman"", ""Ian Holm"", ""Chris Tucker""]",0.7256004,4.0,3
3,587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,Ghost,1990.0,"[""Jerry Zucker""]","[""Patrick Swayze"", ""Demi Moore"", ""Whoopi Goldberg"", ""Tony Goldwyn"", ""Vincent Schiavelli""]",0.5327048,4.0,3
4,6993,Hannah and Her Sisters (1986),Comedy|Drama|Romance,Hannah and Her Sisters,1986.0,"[""Woody Allen""]","[""Mia Farrow"", ""Barbara Hershey"", ""Dianne Wiest"", ""Woody Allen"", ""Michael Caine""]",0.20770076,,0
5,208,Waterworld (1995),Action|Adventure|Sci-Fi,Waterworld,1995.0,"[""Kevin Reynolds""]","[""Kevin Costner"", ""Dennis Hopper"", ""Jeanne Tripplehorn"", ""Tina Majorino"", ""R. D. Call""]",0.120854825,4.0,3
6,59421,What Happens in Vegas... (2008),Comedy|Romance,What Happens in Vegas,2008.0,"[""Tom Vaughan""]","[""Cameron Diaz"", ""Ashton Kutcher"", ""Rob Corddry"", ""Lake Bell"", ""Jason Sudeikis""]",0.011096615,,0
7,195619,Kim Possible Movie: So the Drama (2005),Action|Adventure|Animation|Children|Drama,Kim Possible Movie: So the Drama,2005.0,"[""Steve Loter""]","[""Christy Carlson Romano"", ""Will Friedle"", ""Nancy Cartwright"", ""Tahj Mowry"", ""Mayim Bialik""]",-0.12635837,,0
8,1088,Dirty Dancing (1987),Drama|Musical|Romance,Dirty Dancing,1987.0,"[""Emile Ardolino""]","[""Jennifer Grey"", ""Patrick Swayze"", ""Jerry Orbach"", ""Cynthia Rhodes"", ""Jack Weston""]",-0.21747793,4.5,4
9,951,His Girl Friday (1940),Comedy|Romance,His Girl Friday,1940.0,"[""Howard Hawks""]","[""Cary Grant"", ""Rosalind Russell"", ""Ralph Bellamy"", ""Gene Lockhart"", ""Porter Hall""]",-0.2761554,,0
10,231883,Forbidden Secrets (2005),Drama|Mystery|Thriller,Forbidden Secrets,2007.0,"[""Richard Roy""]","[""Kristy Swanson"", ""David Keeley"", ""Christopher Bondy"", ""Marianne Farley"", ""Charles Edwin Powell""]",-0.27719188,,0
