feature,gain
movie_log_n_keywords,556.5075073242188
movie_metadata_completeness,75.57427978515625
movie_genre_comedy,67.83121490478516
user_genre_known_film_noir,67.13447570800781
movie_genre_animation,59.878658294677734
lang_en,54.974037170410156
movie_genre_action,47.90113067626953
metadata_affinity_mean,46.123844146728516
genre_match_animation,45.94328308105469
movie_genre_horror,43.5699577331543
movie_runtime_scaled,42.83254623413086
movie_genre_crime,42.39894104003906
lang_other,41.082984924316406
movie_release_year_scaled,41.07992172241211
genre_match_crime,39.05141067504883
movie_genre_children,31.876686096191406
movie_genre_mystery,25.436100006103516
user_genre_evidence_film_noir,24.792373657226562
movie_genre_fantasy,24.571714401245117
movie_genre_romance,23.8789119720459
movie_metadata_available,23.482709884643555
genre_match_war,23.454002380371094
user_genre_known_imax,22.25824546813965
genre_match_children,21.826248168945312
lang_de,21.524272918701172
movie_genre_film_noir,21.371997833251953
movie_genre_war,21.1850528717041
movie_log_n_directors,19.089675903320312
movie_has_collection,18.769744873046875
movie_genre_adventure,17.778316497802734
movie_age_scaled,17.468162536621094
lang_ja,16.943340301513672
movie_log_n_writers,16.82886505126953
lang_it,16.075305938720703
lang_fr,15.072590827941895
genre_match_sci_fi,14.959656715393066
movie_genre_western,14.778058052062988
keyword_affinity,14.656726837158203
genre_match_action,14.461564064025879
movie_genre_sci_fi,14.100081443786621
genre_match_mystery,13.885520935058594
user_genre_known_horror,12.437267303466797
genre_match_comedy,12.332798957824707
movie_genre_musical,12.15215015411377
movie_genre_drama,12.112004280090332
genre_match_fantasy,12.105441093444824
movie_genre_imax,11.814397811889648
genre_match_adventure,11.518644332885742
lang_hi,11.376090049743652
user_genre_evidence_horror,11.317239761352539
genre_match_horror,11.215618133544922
genre_match_drama,10.459290504455566
genre_match_imax,9.985660552978516
genre_match_musical,9.778987884521484
user_rel_pref_action,9.77071762084961
lang_sv,9.689187049865723
movie_genre_thriller,9.233997344970703
genre_match_romance,9.203729629516602
collection_affinity,8.967202186584473
user_genre_known_documentary,8.735136985778809
lang_ko,8.605317115783691
lang_zh,8.586100578308105
user_genre_evidence_musical,8.451031684875488
movie_log_n_cast,8.429450035095215
user_rel_pref_animation,8.21665096282959
metadata_affinity_max,8.148096084594727
user_genre_evidence_romance,8.061534881591797
user_genre_evidence_comedy,8.010403633117676
lang_es,8.010027885437012
movie_genre_documentary,7.933027744293213
genre_match_thriller,7.876849174499512
user_genre_evidence_imax,7.836592674255371
user_genre_evidence_documentary,7.11251974105835
genre_match_western,7.096780300140381
user_genre_evidence_drama,7.061214447021484
user_genre_known_mystery,6.974470615386963
director_affinity,6.915717124938965
user_rel_pref_film_noir,6.810539245605469
lang_ru,6.712399959564209
user_genre_evidence_action,6.502112865447998
genre_match_film_noir,6.4741435050964355
user_genre_evidence_war,6.3117828369140625
user_rel_pref_drama,6.285608768463135
user_abs_pref_action,6.2585320472717285
writer_affinity,6.230392932891846
genre_match_documentary,6.149021148681641
user_genre_known_animation,6.040633678436279
lang_pt,6.037592887878418
user_genre_evidence_animation,5.974081039428711
user_genre_evidence_western,5.887392520904541
user_rel_pref_children,5.793333053588867
user_rel_pref_imax,5.782740116119385
user_history_log_count_norm,5.661208152770996
user_genre_evidence_thriller,5.448235511779785
user_genre_evidence_sci_fi,5.40510368347168
user_genre_known_action,5.360477447509766
user_rel_pref_comedy,5.144343852996826
user_genre_evidence_crime,5.09578800201416
user_genre_known_children,5.072375774383545
user_abs_pref_imax,5.07127571105957
cast_affinity,5.04319429397583
user_rel_pref_adventure,5.015336990356445
user_abs_pref_drama,4.831710338592529
user_abs_pref_thriller,4.790286540985107
user_abs_pref_adventure,4.732019424438477
user_genre_evidence_adventure,4.68568754196167
user_rel_pref_romance,4.658255577087402
user_rel_pref_documentary,4.617063999176025
user_genre_evidence_children,4.598652362823486
user_abs_pref_war,4.57635498046875
user_rel_pref_musical,4.554543495178223
user_rel_pref_war,4.5282487869262695
user_abs_pref_crime,4.456844329833984
user_genre_known_western,4.365114688873291
user_abs_pref_sci_fi,4.313904285430908
user_genre_evidence_mystery,4.259896755218506
user_abs_pref_children,4.178110599517822
user_genre_known_crime,4.135671138763428
user_abs_pref_fantasy,4.098018169403076
user_rel_pref_crime,4.016493797302246
user_rel_pref_thriller,4.002984046936035
user_abs_pref_romance,3.9699506759643555
user_genre_evidence_fantasy,3.9640252590179443
user_mean_rating_norm,3.9430718421936035
user_rel_pref_western,3.9150919914245605
user_abs_pref_musical,3.908647060394287
user_rel_pref_horror,3.8726084232330322
company_affinity,3.8672471046447754
user_abs_pref_mystery,3.8320844173431396
user_abs_pref_western,3.8124032020568848
user_abs_pref_horror,3.789095163345337
user_abs_pref_comedy,3.701742649078369
user_abs_pref_animation,3.6631951332092285
user_abs_pref_documentary,3.6504623889923096
user_rel_pref_fantasy,3.5710811614990234
user_abs_pref_film_noir,3.523806095123291
user_rel_pref_mystery,3.4411087036132812
user_rel_pref_sci_fi,3.3637261390686035
user_genre_known_fantasy,3.1156463623046875
user_genre_known_war,2.1580517292022705
user_genre_known_adventure,2.077190399169922
user_genre_known_musical,1.946864366531372
user_genre_known_romance,0.6789498329162598
user_genre_known_sci_fi,0.4974517822265625
